FREQ,INTER,SHARP,S1_avg_error,S2_avg_error,S1_frames,S2_frames
15,1,100,20.84,34.67,10,10
15,2,100,24.42,38.26,10,10
15,5,100,27.09,35.25,2,2
15,20,0,21.38,34.99,10,10
15,20,20,20.58,34.89,10,10
15,20,50,21.93,35.11,10,10
15,20,80,19.9,34.78,10,10
30,1,0,23.12,34.71,10,10
30,1,20,24.06,34.51,10,10
30,1,50,22.94,34.48,10,10
30,1,80,23.79,34.92,10,10
30,1,100,22.44,35.38,10,10
30,2,0,33.44,37.63,10,10
30,2,20,27.99,35.56,10,10
30,2,50,35.08,41.8,10,10
30,2,80,37.48,36.38,10,10
30,2,100,26.61,37.24,10,10
30,5,0,25.19,35.45,10,10
30,5,20,25.72,36.04,10,10
30,5,50,21.2,35.26,10,10
30,5,80,24.32,36.86,10,10
30,5,100,25.32,36.29,10,10
30,10,0,22.83,35.02,10,10
30,10,20,22.36,36.02,10,10
30,10,50,22.8,36.21,10,10
30,10,80,24.87,35.15,10,10
30,10,100,23.09,36.08,10,10
30,20,0,19.57,34.81,10,10
30,20,50,18.88,35.89,10,10
30,20,100,19.58,34.86,10,10
45,1,0,20.76,35.69,10,10
45,1,20,20.51,36.61,10,10
45,1,50,22.02,35.02,10,10
45,1,80,20.51,35.97,10,10
45,1,100,22.5,35.41,10,10
45,2,0,26.54,35.76,10,10
45,2,20,24.83,37.53,10,10
45,2,50,34.21,34.24,10,10
45,2,80,25.69,36.63,10,10
45,2,100,24.56,36.49,10,10
45,5,0,22.51,36.62,10,10
45,5,20,23.46,36.42,10,10
45,5,50,23.71,36.24,10,10
45,5,80,22.27,35.28,10,10
45,5,100,21.64,35.14,10,10
45,10,0,18.92,36.49,10,10
45,10,20,19.18,35.52,10,10
45,10,50,20.43,35.78,10,10
45,10,80,21.47,35.01,10,10
45,10,100,19.95,34.78,10,10
45,20,20,18.84,36.56,2,2
45,20,50,17.34,35.56,10,10
60,1,0,20.38,35.81,10,10
60,1,20,21.23,35.86,10,10
60,1,50,19.19,35.38,10,10
60,1,80,19.91,35.8,10,10
60,1,100,20.31,35.81,10,10
60,2,0,27.03,35.98,10,10
60,2,20,27.31,37.26,10,10
60,2,50,26.92,38.66,10,10
60,2,80,25.75,48.58,10,10
60,2,100,33.42,36.78,10,10
60,5,0,22.74,37.46,10,10
60,5,20,23.11,35.26,10,10
60,5,50,43.21,36.68,10,10
60,5,80,24.18,35.86,10,10
60,5,100,27.16,36.98,10,10
60,10,0,22.86,35.79,10,10
60,10,20,19.88,36.21,10,10
60,10,50,18.61,35.22,10,10
60,10,80,21.73,40.97,10,10
60,10,100,20.85,35.6,10,10
120,1,0,18.31,35.03,10,10
120,1,20,19.19,34.71,10,10
120,1,50,21.27,36.58,10,10
120,1,80,18.18,44.23,10,10
120,1,100,19.79,35.61,10,10
120,2,0,17.67,36.99,10,10
120,2,20,22.92,40.8,10,10
120,2,50,24.81,40.91,10,10
120,2,80,47.09,51.59,10,10
120,2,100,22.92,42.41,10,10
120,5,0,20.55,36.41,10,10
120,5,20,24.16,36.2,10,10
120,5,50,21.56,35.4,10,10
120,5,80,21.85,35.64,10,10
120,5,100,20.38,35.33,10,10
120,10,0,17.88,36.44,10,10
120,10,20,19.15,36.31,10,9
120,10,50,19.29,35.59,10,10
120,10,80,21.07,35.62,10,10
120,10,100,19.62,34.93,10,10
120,20,80,15.9,34.23,3,3
